,WELL ID,RESULTS,CHEMICAL,DATE,UNITS,QUALIFER,RL,APPROXIMATE LATITUDE,APPROXIMATE LONGITUDE,WELL TYPE,WELL DEPTH (FT),TOP OF SCREEN (FT),SCREEN LENGTH (FT),SOURCE,SOURCE NAME,OTHER NAMES,YEAR,STATION,LATITUDE,LONGITUDE,ELEVATION,PRCP,TAVG,TMAX,TMIN
1,3010092-077,,PFBSA,2019-04-23,,,UNK,33.786490600001,-117.79948800000099,MUNICIPAL,,,,DHS,3010092-077,WELL OPA-1,2019,US1CAOR0031,33.8261,-117.7781,197.8,0.0,,,
2,3010092-077,,PFUNDCA,2019-04-23,,,UNK,33.786490600001,-117.79948800000099,MUNICIPAL,,,,DHS,3010092-077,WELL OPA-1,2019,US1CAOR0031,33.8261,-117.7781,197.8,0.0,,,
3,3010092-077,,PFHPA,2019-04-23,,,UNK,33.786490600001,-117.79948800000099,MUNICIPAL,,,,DHS,3010092-077,WELL OPA-1,2019,US1CAOR0031,33.8261,-117.7781,197.8,0.0,,,
4,3010092-077,,PFHXSA,2019-04-23,,,UNK,33.786490600001,-117.79948800000099,MUNICIPAL,,,,DHS,3010092-077,WELL OPA-1,2019,US1CAOR0031,33.8261,-117.7781,197.8,0.0,,,
5,3010092-077,,PFTRIDA,2019-04-23,,,UNK,33.786490600001,-117.79948800000099,MUNICIPAL,,,,DHS,3010092-077,WELL OPA-1,2019,US1CAOR0031,33.8261,-117.7781,197.8,0.0,,,
6,3010092-077,,PFNDCA,2019-04-23,,,UNK,33.786490600001,-117.79948800000099,MUNICIPAL,,,,DHS,3010092-077,WELL OPA-1,2019,US1CAOR0031,33.8261,-117.7781,197.8,0.0,,,
7,3010092-077,0.0154,PFOA,2019-04-23,UG/L,,UNK,33.786490600001,-117.79948800000099,MUNICIPAL,,,,DHS,3010092-077,WELL OPA-1,2019,US1CAOR0031,33.8261,-117.7781,197.8,0.0,,,
8,3010092-077,,PFHA,2019-04-23,,,UNK,33.786490600001,-117.79948800000099,MUNICIPAL,,,,DHS,3010092-077,WELL OPA-1,2019,US1CAOR0031,33.8261,-117.7781,197.8,0.0,,,
9,3010092-077,,PFTEDA,2019-04-23,,,UNK,33.786490600001,-117.79948800000099,MUNICIPAL,,,,DHS,3010092-077,WELL OPA-1,2019,US1CAOR0031,33.8261,-117.7781,197.8,0.0,,,
10,3010092-077,,PFDOA,2019-04-23,,,UNK,33.786490600001,-117.79948800000099,MUNICIPAL,,,,DHS,3010092-077,WELL OPA-1,2019,US1CAOR0031,33.8261,-117.7781,197.8,0.0,,,
11,3010092-077,,PFNA,2019-04-23,,,UNK,33.786490600001,-117.79948800000099,MUNICIPAL,,,,DHS,3010092-077,WELL OPA-1,2019,US1CAOR0031,33.8261,-117.7781,197.8,0.0,,,
0,3010082-005,,PFDOA,2019-04-23,,,UNK,33.815463900001,-117.79948800000099,MUNICIPAL,,,,DHS,3010082-005,WELL 03 009,2019,US1CAOR0031,33.8261,-117.7781,197.8,0.0,,,
1,3010082-005,,PFHA,2019-04-23,,,UNK,33.815463900001,-117.79948800000099,MUNICIPAL,,,,DHS,3010082-005,WELL 03 009,2019,US1CAOR0031,33.8261,-117.7781,197.8,0.0,,,
2,3010082-005,,PFHPA,2019-04-23,,,UNK,33.815463900001,-117.79948800000099,MUNICIPAL,,,,DHS,3010082-005,WELL 03 009,2019,US1CAOR0031,33.8261,-117.7781,197.8,0.0,,,
3,3010082-005,,PFOS,2019-04-23,,,UNK,33.815463900001,-117.79948800000099,MUNICIPAL,,,,DHS,3010082-005,WELL 03 009,2019,US1CAOR0031,33.8261,-117.7781,197.8,0.0,,,
4,3010082-005,,PFNDCA,2019-04-23,,,UNK,33.815463900001,-117.79948800000099,MUNICIPAL,,,,DHS,3010082-005,WELL 03 009,2019,US1CAOR0031,33.8261,-117.7781,197.8,0.0,,,
5,3010082-005,,PFHXSA,2019-04-23,,,UNK,33.815463900001,-117.79948800000099,MUNICIPAL,,,,DHS,3010082-005,WELL 03 009,2019,US1CAOR0031,33.8261,-117.7781,197.8,0.0,,,
6,3010082-005,,PFNA,2019-04-23,,,UNK,33.815463900001,-117.79948800000099,MUNICIPAL,,,,DHS,3010082-005,WELL 03 009,2019,US1CAOR0031,33.8261,-117.7781,197.8,0.0,,,
7,3010082-005,0.0215,PFOA,2019-04-23,UG/L,,UNK,33.815463900001,-117.79948800000099,MUNICIPAL,,,,DHS,3010082-005,WELL 03 009,2019,US1CAOR0031,33.8261,-117.7781,197.8,0.0,,,
8,3010082-005,,PFTEDA,2019-04-23,,,UNK,33.815463900001,-117.79948800000099,MUNICIPAL,,,,DHS,3010082-005,WELL 03 009,2019,US1CAOR0031,33.8261,-117.7781,197.8,0.0,,,
9,3010082-005,,PFUNDCA,2019-04-23,,,UNK,33.815463900001,-117.79948800000099,MUNICIPAL,,,,DHS,3010082-005,WELL 03 009,2019,US1CAOR0031,33.8261,-117.7781,197.8,0.0,,,
10,3010082-005,,PFBSA,2019-04-23,,,UNK,33.815463900001,-117.79948800000099,MUNICIPAL,,,,DHS,3010082-005,WELL 03 009,2019,US1CAOR0031,33.8261,-117.7781,197.8,0.0,,,
11,3010082-005,,PFTRIDA,2019-04-23,,,UNK,33.815463900001,-117.79948800000099,MUNICIPAL,,,,DHS,3010082-005,WELL 03 009,2019,US1CAOR0031,33.8261,-117.7781,197.8,0.0,,,
0,3010068-001,,PFTRIDA,2019-04-23,,,UNK,33.786490600001,-117.83910400000099,MUNICIPAL,,,,DHS,3010068-001,EAST WELL,2019,US1CAOR0042,33.7655,-117.8878,33.5,0.0,,,
1,3010068-001,,PFUNDCA,2019-04-23,,,UNK,33.786490600001,-117.83910400000099,MUNICIPAL,,,,DHS,3010068-001,EAST WELL,2019,US1CAOR0042,33.7655,-117.8878,33.5,0.0,,,
2,3010068-001,,PFHA,2019-04-23,,,UNK,33.786490600001,-117.83910400000099,MUNICIPAL,,,,DHS,3010068-001,EAST WELL,2019,US1CAOR0042,33.7655,-117.8878,33.5,0.0,,,
3,3010068-001,,PFHPA,2019-04-23,,,UNK,33.786490600001,-117.83910400000099,MUNICIPAL,,,,DHS,3010068-001,EAST WELL,2019,US1CAOR0042,33.7655,-117.8878,33.5,0.0,,,
4,3010068-001,,PFHXSA,2019-04-23,,,UNK,33.786490600001,-117.83910400000099,MUNICIPAL,,,,DHS,3010068-001,EAST WELL,2019,US1CAOR0042,33.7655,-117.8878,33.5,0.0,,,
5,3010068-001,,PFOS,2019-04-23,,,UNK,33.786490600001,-117.83910400000099,MUNICIPAL,,,,DHS,3010068-001,EAST WELL,2019,US1CAOR0042,33.7655,-117.8878,33.5,0.0,,,
6,3010068-001,,PFNA,2019-04-23,,,UNK,33.786490600001,-117.83910400000099,MUNICIPAL,,,,DHS,3010068-001,EAST WELL,2019,US1CAOR0042,33.7655,-117.8878,33.5,0.0,,,
7,3010068-001,,PFBSA,2019-04-23,,,UNK,33.786490600001,-117.83910400000099,MUNICIPAL,,,,DHS,3010068-001,EAST WELL,2019,US1CAOR0042,33.7655,-117.8878,33.5,0.0,,,
8,3010068-001,,PFTEDA,2019-04-23,,,UNK,33.786490600001,-117.83910400000099,MUNICIPAL,,,,DHS,3010068-001,EAST WELL,2019,US1CAOR0042,33.7655,-117.8878,33.5,0.0,,,
9,3010068-001,,PFNDCA,2019-04-23,,,UNK,33.786490600001,-117.83910400000099,MUNICIPAL,,,,DHS,3010068-001,EAST WELL,2019,US1CAOR0042,33.7655,-117.8878,33.5,0.0,,,
10,3010068-001,,PFDOA,2019-04-23,,,UNK,33.786490600001,-117.83910400000099,MUNICIPAL,,,,DHS,3010068-001,EAST WELL,2019,US1CAOR0042,33.7655,-117.8878,33.5,0.0,,,
11,3010068-001,0.0219,PFOA,2019-04-23,UG/L,,UNK,33.786490600001,-117.83910400000099,MUNICIPAL,,,,DHS,3010068-001,EAST WELL,2019,US1CAOR0042,33.7655,-117.8878,33.5,0.0,,,
0,3010082-007,,PFHA,2019-04-23,,,UNK,33.815463900001,-117.79948800000099,MUNICIPAL,,,,DHS,3010082-007,WELL 05 011,2019,US1CAOR0031,33.8261,-117.7781,197.8,0.0,,,
1,3010082-007,,PFOS,2019-04-23,,,UNK,33.815463900001,-117.79948800000099,MUNICIPAL,,,,DHS,3010082-007,WELL 05 011,2019,US1CAOR0031,33.8261,-117.7781,197.8,0.0,,,
2,3010082-007,,PFTEDA,2019-04-23,,,UNK,33.815463900001,-117.79948800000099,MUNICIPAL,,,,DHS,3010082-007,WELL 05 011,2019,US1CAOR0031,33.8261,-117.7781,197.8,0.0,,,
3,3010082-007,,PFBSA,2019-04-23,,,UNK,33.815463900001,-117.79948800000099,MUNICIPAL,,,,DHS,3010082-007,WELL 05 011,2019,US1CAOR0031,33.8261,-117.7781,197.8,0.0,,,
4,3010082-007,,PFUNDCA,2019-04-23,,,UNK,33.815463900001,-117.79948800000099,MUNICIPAL,,,,DHS,3010082-007,WELL 05 011,2019,US1CAOR0031,33.8261,-117.7781,197.8,0.0,,,
5,3010082-007,,PFHPA,2019-04-23,,,UNK,33.815463900001,-117.79948800000099,MUNICIPAL,,,,DHS,3010082-007,WELL 05 011,2019,US1CAOR0031,33.8261,-117.7781,197.8,0.0,,,
6,3010082-007,,PFNDCA,2019-04-23,,,UNK,33.815463900001,-117.79948800000099,MUNICIPAL,,,,DHS,3010082-007,WELL 05 011,2019,US1CAOR0031,33.8261,-117.7781,197.8,0.0,,,
7,3010082-007,,PFDOA,2019-04-23,,,UNK,33.815463900001,-117.79948800000099,MUNICIPAL,,,,DHS,3010082-007,WELL 05 011,2019,US1CAOR0031,33.8261,-117.7781,197.8,0.0,,,
8,3010082-007,,PFHXSA,2019-04-23,,,UNK,33.815463900001,-117.79948800000099,MUNICIPAL,,,,DHS,3010082-007,WELL 05 011,2019,US1CAOR0031,33.8261,-117.7781,197.8,0.0,,,
9,3010082-007,,PFNA,2019-04-23,,,UNK,33.815463900001,-117.79948800000099,MUNICIPAL,,,,DHS,3010082-007,WELL 05 011,2019,US1CAOR0031,33.8261,-117.7781,197.8,0.0,,,
10,3010082-007,0.0198,PFOA,2019-04-23,UG/L,,UNK,33.815463900001,-117.79948800000099,MUNICIPAL,,,,DHS,3010082-007,WELL 05 011,2019,US1CAOR0031,33.8261,-117.7781,197.8,0.0,,,
11,3010082-007,,PFTRIDA,2019-04-23,,,UNK,33.815463900001,-117.79948800000099,MUNICIPAL,,,,DHS,3010082-007,WELL 05 011,2019,US1CAOR0031,33.8261,-117.7781,197.8,0.0,,,
0,3010001-096,,PFHXSA,2019-04-10,,,UNK,33.873410500001,-117.83910400000099,MUNICIPAL,,,,DHS,3010001-096,WELL 58,2019,USC00040192,33.8647,-117.8425,71.6,0.0,,79.0,56.0
1,3010001-096,,PFDOA,2019-04-10,,,UNK,33.873410500001,-117.83910400000099,MUNICIPAL,,,,DHS,3010001-096,WELL 58,2019,USC00040192,33.8647,-117.8425,71.6,0.0,,79.0,56.0
2,3010001-096,,PFTEDA,2019-04-10,,,UNK,33.873410500001,-117.83910400000099,MUNICIPAL,,,,DHS,3010001-096,WELL 58,2019,USC00040192,33.8647,-117.8425,71.6,0.0,,79.0,56.0
3,3010001-096,,PFNA,2019-04-10,,,UNK,33.873410500001,-117.83910400000099,MUNICIPAL,,,,DHS,3010001-096,WELL 58,2019,USC00040192,33.8647,-117.8425,71.6,0.0,,79.0,56.0
4,3010001-096,,PFNDCA,2019-04-10,,,UNK,33.873410500001,-117.83910400000099,MUNICIPAL,,,,DHS,3010001-096,WELL 58,2019,USC00040192,33.8647,-117.8425,71.6,0.0,,79.0,56.0
5,3010001-096,,PFOS,2019-04-10,,,UNK,33.873410500001,-117.83910400000099,MUNICIPAL,,,,DHS,3010001-096,WELL 58,2019,USC00040192,33.8647,-117.8425,71.6,0.0,,79.0,56.0
6,3010001-096,,PFTRIDA,2019-04-10,,,UNK,33.873410500001,-117.83910400000099,MUNICIPAL,,,,DHS,3010001-096,WELL 58,2019,USC00040192,33.8647,-117.8425,71.6,0.0,,79.0,56.0
7,3010001-096,,PFUNDCA,2019-04-10,,,UNK,33.873410500001,-117.83910400000099,MUNICIPAL,,,,DHS,3010001-096,WELL 58,2019,USC00040192,33.8647,-117.8425,71.6,0.0,,79.0,56.0
8,3010001-096,,PFHPA,2019-04-10,,,UNK,33.873410500001,-117.83910400000099,MUNICIPAL,,,,DHS,3010001-096,WELL 58,2019,USC00040192,33.8647,-117.8425,71.6,0.0,,79.0,56.0
9,3010001-096,0.0152,PFOA,2019-04-10,UG/L,,UNK,33.873410500001,-117.83910400000099,MUNICIPAL,,,,DHS,3010001-096,WELL 58,2019,USC00040192,33.8647,-117.8425,71.6,0.0,,79.0,56.0
10,3010001-096,,PFBSA,2019-04-10,,,UNK,33.873410500001,-117.83910400000099,MUNICIPAL,,,,DHS,3010001-096,WELL 58,2019,USC00040192,33.8647,-117.8425,71.6,0.0,,79.0,56.0
11,3010001-096,,PFHA,2019-04-10,,,UNK,33.873410500001,-117.83910400000099,MUNICIPAL,,,,DHS,3010001-096,WELL 58,2019,USC00040192,33.8647,-117.8425,71.6,0.0,,79.0,56.0
0,3010027-008,,PFTEDA,2019-04-23,,,UNK,33.815463900001,-117.878720000001,MUNICIPAL,,,,DHS,3010027-008,WELL 08,2019,US1CAOR0042,33.7655,-117.8878,33.5,0.0,,,
1,3010027-008,0.0201,PFOA,2019-04-23,UG/L,,UNK,33.815463900001,-117.878720000001,MUNICIPAL,,,,DHS,3010027-008,WELL 08,2019,US1CAOR0042,33.7655,-117.8878,33.5,0.0,,,
2,3010027-008,,PFOS,2019-04-23,,,UNK,33.815463900001,-117.878720000001,MUNICIPAL,,,,DHS,3010027-008,WELL 08,2019,US1CAOR0042,33.7655,-117.8878,33.5,0.0,,,
3,3010027-008,,PFBSA,2019-04-23,,,UNK,33.815463900001,-117.878720000001,MUNICIPAL,,,,DHS,3010027-008,WELL 08,2019,US1CAOR0042,33.7655,-117.8878,33.5,0.0,,,
4,3010027-008,,PFNDCA,2019-04-23,,,UNK,33.815463900001,-117.878720000001,MUNICIPAL,,,,DHS,3010027-008,WELL 08,2019,US1CAOR0042,33.7655,-117.8878,33.5,0.0,,,
5,3010027-008,,PFDOA,2019-04-23,,,UNK,33.815463900001,-117.878720000001,MUNICIPAL,,,,DHS,3010027-008,WELL 08,2019,US1CAOR0042,33.7655,-117.8878,33.5,0.0,,,
6,3010027-008,,PFHA,2019-04-23,,,UNK,33.815463900001,-117.878720000001,MUNICIPAL,,,,DHS,3010027-008,WELL 08,2019,US1CAOR0042,33.7655,-117.8878,33.5,0.0,,,
7,3010027-008,,PFHPA,2019-04-23,,,UNK,33.815463900001,-117.878720000001,MUNICIPAL,,,,DHS,3010027-008,WELL 08,2019,US1CAOR0042,33.7655,-117.8878,33.5,0.0,,,
8,3010027-008,,PFUNDCA,2019-04-23,,,UNK,33.815463900001,-117.878720000001,MUNICIPAL,,,,DHS,3010027-008,WELL 08,2019,US1CAOR0042,33.7655,-117.8878,33.5,0.0,,,
9,3010027-008,,PFHXSA,2019-04-23,,,UNK,33.815463900001,-117.878720000001,MUNICIPAL,,,,DHS,3010027-008,WELL 08,2019,US1CAOR0042,33.7655,-117.8878,33.5,0.0,,,
10,3010027-008,,PFNA,2019-04-23,,,UNK,33.815463900001,-117.878720000001,MUNICIPAL,,,,DHS,3010027-008,WELL 08,2019,US1CAOR0042,33.7655,-117.8878,33.5,0.0,,,
11,3010027-008,,PFTRIDA,2019-04-23,,,UNK,33.815463900001,-117.878720000001,MUNICIPAL,,,,DHS,3010027-008,WELL 08,2019,US1CAOR0042,33.7655,-117.8878,33.5,0.0,,,
0,3010001-035,,PFNDCA,2019-04-10,,,UNK,33.873410500001,-117.83910400000099,MUNICIPAL,,,,DHS,3010001-035,WELL 042 085,2019,USC00040192,33.8647,-117.8425,71.6,0.0,,79.0,56.0
1,3010001-035,,PFTEDA,2019-04-10,,,UNK,33.873410500001,-117.83910400000099,MUNICIPAL,,,,DHS,3010001-035,WELL 042 085,2019,USC00040192,33.8647,-117.8425,71.6,0.0,,79.0,56.0
2,3010001-035,,PFTRIDA,2019-04-10,,,UNK,33.873410500001,-117.83910400000099,MUNICIPAL,,,,DHS,3010001-035,WELL 042 085,2019,USC00040192,33.8647,-117.8425,71.6,0.0,,79.0,56.0
3,3010001-035,,PFBSA,2019-04-10,,,UNK,33.873410500001,-117.83910400000099,MUNICIPAL,,,,DHS,3010001-035,WELL 042 085,2019,USC00040192,33.8647,-117.8425,71.6,0.0,,79.0,56.0
4,3010001-035,,PFOS,2019-04-10,,,UNK,33.873410500001,-117.83910400000099,MUNICIPAL,,,,DHS,3010001-035,WELL 042 085,2019,USC00040192,33.8647,-117.8425,71.6,0.0,,79.0,56.0
5,3010001-035,,PFNA,2019-04-10,,,UNK,33.873410500001,-117.83910400000099,MUNICIPAL,,,,DHS,3010001-035,WELL 042 085,2019,USC00040192,33.8647,-117.8425,71.6,0.0,,79.0,56.0
6,3010001-035,0.0146,PFOA,2019-04-10,UG/L,,UNK,33.873410500001,-117.83910400000099,MUNICIPAL,,,,DHS,3010001-035,WELL 042 085,2019,USC00040192,33.8647,-117.8425,71.6,0.0,,79.0,56.0
7,3010001-035,,PFDOA,2019-04-10,,,UNK,33.873410500001,-117.83910400000099,MUNICIPAL,,,,DHS,3010001-035,WELL 042 085,2019,USC00040192,33.8647,-117.8425,71.6,0.0,,79.0,56.0
8,3010001-035,,PFHXSA,2019-04-10,,,UNK,33.873410500001,-117.83910400000099,MUNICIPAL,,,,DHS,3010001-035,WELL 042 085,2019,USC00040192,33.8647,-117.8425,71.6,0.0,,79.0,56.0
9,3010001-035,,PFUNDCA,2019-04-10,,,UNK,33.873410500001,-117.83910400000099,MUNICIPAL,,,,DHS,3010001-035,WELL 042 085,2019,USC00040192,33.8647,-117.8425,71.6,0.0,,79.0,56.0
10,3010001-035,,PFHA,2019-04-10,,,UNK,33.873410500001,-117.83910400000099,MUNICIPAL,,,,DHS,3010001-035,WELL 042 085,2019,USC00040192,33.8647,-117.8425,71.6,0.0,,79.0,56.0
11,3010001-035,,PFHPA,2019-04-10,,,UNK,33.873410500001,-117.83910400000099,MUNICIPAL,,,,DHS,3010001-035,WELL 042 085,2019,USC00040192,33.8647,-117.8425,71.6,0.0,,79.0,56.0
0,3010037-001,,PFHPA,2019-04-04,,,UNK,33.873410500001,-117.79948800000099,MUNICIPAL,,,,DHS,3010037-001,WELL 15 (ETCHANDY WELL),2019,US1CAOR0072,33.873000000000005,-117.7995,96.3,0.04,,,
1,3010037-001,,PFDOA,2019-04-04,,,UNK,33.873410500001,-117.79948800000099,MUNICIPAL,,,,DHS,3010037-001,WELL 15 (ETCHANDY WELL),2019,US1CAOR0072,33.873000000000005,-117.7995,96.3,0.04,,,
2,3010037-001,,PFNA,2019-04-04,,,UNK,33.873410500001,-117.79948800000099,MUNICIPAL,,,,DHS,3010037-001,WELL 15 (ETCHANDY WELL),2019,US1CAOR0072,33.873000000000005,-117.7995,96.3,0.04,,,
3,3010037-001,,PFNDCA,2019-04-04,,,UNK,33.873410500001,-117.79948800000099,MUNICIPAL,,,,DHS,3010037-001,WELL 15 (ETCHANDY WELL),2019,US1CAOR0072,33.873000000000005,-117.7995,96.3,0.04,,,
4,3010037-001,,PFOS,2019-04-04,,,UNK,33.873410500001,-117.79948800000099,MUNICIPAL,,,,DHS,3010037-001,WELL 15 (ETCHANDY WELL),2019,US1CAOR0072,33.873000000000005,-117.7995,96.3,0.04,,,
5,3010037-001,,PFHA,2019-04-04,,,UNK,33.873410500001,-117.79948800000099,MUNICIPAL,,,,DHS,3010037-001,WELL 15 (ETCHANDY WELL),2019,US1CAOR0072,33.873000000000005,-117.7995,96.3,0.04,,,
6,3010037-001,,PFTEDA,2019-04-04,,,UNK,33.873410500001,-117.79948800000099,MUNICIPAL,,,,DHS,3010037-001,WELL 15 (ETCHANDY WELL),2019,US1CAOR0072,33.873000000000005,-117.7995,96.3,0.04,,,
7,3010037-001,,PFTRIDA,2019-04-04,,,UNK,33.873410500001,-117.79948800000099,MUNICIPAL,,,,DHS,3010037-001,WELL 15 (ETCHANDY WELL),2019,US1CAOR0072,33.873000000000005,-117.7995,96.3,0.04,,,
8,3010037-001,,PFUNDCA,2019-04-04,,,UNK,33.873410500001,-117.79948800000099,MUNICIPAL,,,,DHS,3010037-001,WELL 15 (ETCHANDY WELL),2019,US1CAOR0072,33.873000000000005,-117.7995,96.3,0.04,,,
9,3010037-001,,PFBSA,2019-04-04,,,UNK,33.873410500001,-117.79948800000099,MUNICIPAL,,,,DHS,3010037-001,WELL 15 (ETCHANDY WELL),2019,US1CAOR0072,33.873000000000005,-117.7995,96.3,0.04,,,
10,3010037-001,0.0185,PFOA,2019-04-04,UG/L,,UNK,33.873410500001,-117.79948800000099,MUNICIPAL,,,,DHS,3010037-001,WELL 15 (ETCHANDY WELL),2019,US1CAOR0072,33.873000000000005,-117.7995,96.3,0.04,,,
11,3010037-001,,PFHXSA,2019-04-04,,,UNK,33.873410500001,-117.79948800000099,MUNICIPAL,,,,DHS,3010037-001,WELL 15 (ETCHANDY WELL),2019,US1CAOR0072,33.873000000000005,-117.7995,96.3,0.04,,,
0,3010037-003,0.0262,PFOA,2018-02-05,UG/L,,UNK,33.873410500001,-117.83910400000099,MUNICIPAL,,,,DHS,3010037-003,WELL 05,2018,USC00040192,33.8647,-117.8425,71.6,0.0,,81.0,53.0
1,3010037-003,,PFOS,2018-02-05,,,UNK,33.873410500001,-117.83910400000099,MUNICIPAL,,,,DHS,3010037-003,WELL 05,2018,USC00040192,33.8647,-117.8425,71.6,0.0,,81.0,53.0
2,3010037-003,,PFOS,2018-04-25,,,UNK,33.873410500001,-117.83910400000099,MUNICIPAL,,,,DHS,3010037-003,WELL 05,2018,USC00040192,33.8647,-117.8425,71.6,0.0,,78.0,56.0
3,3010037-003,0.0239,PFOA,2018-04-25,UG/L,,UNK,33.873410500001,-117.83910400000099,MUNICIPAL,,,,DHS,3010037-003,WELL 05,2018,USC00040192,33.8647,-117.8425,71.6,0.0,,78.0,56.0
4,3010037-003,,PFTRIDA,2019-04-04,,,UNK,33.873410500001,-117.83910400000099,MUNICIPAL,,,,DHS,3010037-003,WELL 05,2019,USC00040192,33.8647,-117.8425,71.6,0.0,,69.0,57.0
5,3010037-003,,PFHPA,2019-04-04,,,UNK,33.873410500001,-117.83910400000099,MUNICIPAL,,,,DHS,3010037-003,WELL 05,2019,USC00040192,33.8647,-117.8425,71.6,0.0,,69.0,57.0
6,3010037-003,,PFUNDCA,2019-04-04,,,UNK,33.873410500001,-117.83910400000099,MUNICIPAL,,,,DHS,3010037-003,WELL 05,2019,USC00040192,33.8647,-117.8425,71.6,0.0,,69.0,57.0
7,3010037-003,,PFNA,2019-04-04,,,UNK,33.873410500001,-117.83910400000099,MUNICIPAL,,,,DHS,3010037-003,WELL 05,2019,USC00040192,33.8647,-117.8425,71.6,0.0,,69.0,57.0
8,3010037-003,,PFBSA,2019-04-04,,,UNK,33.873410500001,-117.83910400000099,MUNICIPAL,,,,DHS,3010037-003,WELL 05,2019,USC00040192,33.8647,-117.8425,71.6,0.0,,69.0,57.0
9,3010037-003,,PFHA,2019-04-04,,,UNK,33.873410500001,-117.83910400000099,MUNICIPAL,,,,DHS,3010037-003,WELL 05,2019,USC00040192,33.8647,-117.8425,71.6,0.0,,69.0,57.0
10,3010037-003,,PFTEDA,2019-04-04,,,UNK,33.873410500001,-117.83910400000099,MUNICIPAL,,,,DHS,3010037-003,WELL 05,2019,USC00040192,33.8647,-117.8425,71.6,0.0,,69.0,57.0
11,3010037-003,,PFDOA,2019-04-04,,,UNK,33.873410500001,-117.83910400000099,MUNICIPAL,,,,DHS,3010037-003,WELL 05,2019,USC00040192,33.8647,-117.8425,71.6,0.0,,69.0,57.0
12,3010037-003,0.0207,PFOA,2019-04-04,UG/L,,UNK,33.873410500001,-117.83910400000099,MUNICIPAL,,,,DHS,3010037-003,WELL 05,2019,USC00040192,33.8647,-117.8425,71.6,0.0,,69.0,57.0
13,3010037-003,,PFHXSA,2019-04-04,,,UNK,33.873410500001,-117.83910400000099,MUNICIPAL,,,,DHS,3010037-003,WELL 05,2019,USC00040192,33.8647,-117.8425,71.6,0.0,,69.0,57.0
14,3010037-003,,PFNDCA,2019-04-04,,,UNK,33.873410500001,-117.83910400000099,MUNICIPAL,,,,DHS,3010037-003,WELL 05,2019,USC00040192,33.8647,-117.8425,71.6,0.0,,69.0,57.0
